point,episode,episode_iteration,active_harness,reward_mean,reward_successes,scored_tasks,sequence_id,sequence_iteration,checkpoint_after_point
1,1,1,baseline,0.571429,4,7,sequence-20260714-221157-42,iter-1,
2,1,2,baseline,0.428571,3,7,sequence-20260714-221157-42,iter-2,
3,1,3,baseline,0.714286,5,7,sequence-20260714-221157-42,iter-3,update_0001
4,2,1,update_0001,0.285714,2,7,sequence-20260715-191411-2118514157,iter-1,
5,2,2,update_0001,0.285714,2,7,sequence-20260715-191411-2118514157,iter-2,
6,2,3,update_0001,0.857143,6,7,sequence-20260715-191411-2118514157,iter-3,update_0002
7,3,1,update_0002,0.571429,4,7,sequence-20260715-213005-3732207999,iter-1,
8,3,2,update_0002,0.714286,5,7,sequence-20260715-225048-3732208000,iter-1,
9,3,3,update_0002,0.571429,4,7,sequence-20260715-225048-3732208000,iter-2,update_0003
10,4,1,update_0003,0.428571,3,7,sequence-20260716-104906-2014387070,iter-1,
11,4,2,update_0003,0.571429,4,7,sequence-20260716-104906-2014387070,iter-2,
12,4,3,update_0003,0.857143,6,7,sequence-20260716-131438-2014387072,iter-1,update_0004
13,5,1,update_0004,0.714286,5,7,sequence-20260716-142426-3147520901,iter-1,
14,5,2,update_0004,0.857143,6,7,sequence-20260716-142426-3147520901,iter-2,
15,5,3,update_0004,0.571429,4,7,sequence-20260716-142426-3147520901,iter-3,update_0005
16,6,1,update_0005,0.571429,4,7,sequence-20260716-164851-2865147724,iter-1,
17,6,2,update_0005,0.142857,1,7,sequence-20260716-164851-2865147724,iter-2,
18,6,3,update_0005,0.428571,3,7,sequence-20260716-164851-2865147724,iter-3,update_0006
19,7,1,update_0006,0.428571,3,7,sequence-20260718-153029-1258042773,iter-1,
20,7,2,update_0006,0.571429,4,7,sequence-20260718-170347-1258042774,iter-1,
21,7,3,update_0006,0.428571,3,7,sequence-20260718-170347-1258042774,iter-2,update_0007
22,8,1,update_0007,0.428571,3,7,sequence-20260718-211136-1021275815,iter-1,
23,8,2,update_0007,0.428571,3,7,sequence-20260718-211136-1021275815,iter-2,
24,8,3,update_0007,0.428571,3,7,sequence-20260718-211136-1021275815,iter-3,update_0008
